,Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
6263,6289,I am a student who is learning to code,Yes,21.0,19,,,,Taiwan,,,,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,East Asian,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Office environment or company culture,,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;Kotlin;Python;Swift,C++;HTML/CSS;JavaScript;Python,,,"Github;Gitlab;Facebook Workplace;Slack;Google Suite (Docs, Meet, etc)","Github;Google Suite (Docs, Meet, etc)",,,,,,Every few months,Not sure,,No,,Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later,Windows,,Android;Google Cloud Platform;iOS;Linux;MacOS,Arduino;Linux;MacOS,,,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per week,Neither easy nor difficult,Too long,,"Computer science, computer engineering, or software engineering",Express;jQuery;Laravel;React.js;Vue.js,Express;jQuery;Vue.js,A lot more welcome now than last year,,2,
6349,6375,"I used to be a developer by profession, but no longer am",Yes,29.0,17,,,,Taiwan,,,,PostgreSQL,"Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,,,,,C;HTML/CSS;Python;SQL,,TensorFlow,,Jira;Github,,,,,,Once every few years,Yes,,Yes,,,,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),,Windows,,,Windows,,,Yes,"Yes, somewhat",A few times per week,A few times per week,Neither easy nor difficult,Too long,,"Computer science, computer engineering, or software engineering",,Django,,,12,5
6355,6381,I am a developer by profession,Yes,38.0,5,Yearly,,,Taiwan,New Taiwan dollar,TWD,Firebase;MySQL;SQLite,Firebase;MySQL;SQLite,"Developer, front-end","Professional degree (JD, MD, etc.)",Employed full-time,East Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Go;JavaScript;Python;TypeScript,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python;TypeScript,Node.js;TensorFlow,,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",No,Somewhat important,Very important,Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Not sure,No,Yes,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,,Docker;Kubernetes;Linux;Windows,Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Django;React.js;Vue.js,Angular;Django;jQuery,Somewhat less welcome now than last year,10.0,8,7
6426,6453,I am a student who is learning to code,No,20.0,18,,,,Taiwan,,,,MySQL,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,East Asian,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Opportunities for professional development,,"I’m not actively looking, but I am open to new opportunities",,Assembly;C;C#;C++;Java;Python,,,,"Github;Microsoft Azure;Google Suite (Docs, Meet, etc)",,,,,,Every few months,,,No,,Visit developer communities like Stack Overflow,"Hello, old friend",I have never visited any of these sites,Play games;Call a coworker or friend;Visit Stack Overflow;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,,,Android;Arduino;Microsoft Azure,,Straight / Heterosexual,,,,,Easy,Too long,No,,,,,,3,
6464,6491,I am a developer by profession,Yes,25.0,14,Monthly,50000.0,19884.0,Taiwan,New Taiwan dollar,TWD,,,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;Rust;TypeScript,HTML/CSS;JavaScript,.NET Core;Flutter;Node.js;React Native,,Confluence;Jira;Github;Microsoft Azure,Confluence;Jira;Microsoft Azure,No,Neutral,Fairly important,Curious about other opportunities;Better compensation;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Every few months,Not sure,Yes,Yes,Often: 1-2 days per week or more,,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Watch help / tutorial videos,Windows,2 to 9 employees,Docker;MacOS;Microsoft Azure;Windows,Microsoft Azure;Windows,I have little or no influence,Straight / Heterosexual,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Neither easy nor difficult,Too long,No,Mathematics or statistics,Angular;ASP.NET Core;Gatsby;React.js;Vue.js,React.js,Just as welcome now as I felt last year,40.0,5,2
6521,6549,I am a student who is learning to code,Yes,18.0,12,,,,Taiwan,,,,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,,Man,,,"I’m not actively looking, but I am open to new opportunities",,,,,,,,,,,,Once a year,Not sure,,No,,Start a free trial,Amused,Stack Overflow (public Q&A for anyone who codes),Play games;Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):,Windows,,Raspberry Pi,Arduino,,,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per week,Neither easy nor difficult,Too long,No,,,,Just as welcome now as I felt last year,,6,
6542,6570,I am a student who is learning to code,Yes,,28,,,,Taiwan,,,,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Black or of African descent,Man,Specific department or team I’d be working on;How widely used or impactful my work output would be;Office environment or company culture,,"I’m not actively looking, but I am open to new opportunities",,C;Python;R,,Keras;Pandas;TensorFlow,,Github,,,,,,Every few months,Not sure,,No,,Ask developers I know/work with,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow,Linux-based,,,,,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,,,,Somewhat more welcome now than last year,,3,
6566,6594,I am a developer by profession,Yes,31.0,26,Monthly,,,Taiwan,New Taiwan dollar,TWD,MySQL;Redis,Microsoft SQL Server;MySQL;Redis,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;Java;JavaScript;SQL,HTML/CSS;Java;JavaScript;SQL,Apache Spark;Node.js,Apache Spark,Gitlab,Gitlab,No,Extremely important,Fairly important,Just because;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Directly asking current or past employees at the company",Every few months,Yes,Yes,Yes,Often: 1-2 days per week or more,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,Windows,20 to 99 employees,Docker;Linux;Windows,AWS;Linux;Windows,I have a great deal of influence,,Yes,"Yes, definitely",Less than once per month or monthly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,Web development or web design,Vue.js,Angular;jQuery;React.js;Vue.js,A lot more welcome now than last year,40.0,4,4
6578,6606,I am a developer by profession,No,39.0,8,Yearly,2700000.0,89482.0,Taiwan,New Taiwan dollar,TWD,MySQL;PostgreSQL,MySQL,"Developer, back-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Dart;Go;HTML/CSS;PHP,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP,React Native;Unity 3D,Node.js,Github;Trello,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Neutral,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,Yes,Yes,Never,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,20 to 99 employees,Android;Docker;Linux;WordPress,Linux;WordPress,I have some influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"A social science (such as anthropology, psychology, political science, etc.)",jQuery;Laravel;Symfony,jQuery;React.js,Just as welcome now as I felt last year,40.0,25,15
6636,6664,I am a developer by profession,Yes,33.0,24,Yearly,1300000.0,43084.0,Taiwan,New Taiwan dollar,TWD,,Firebase;MongoDB;MySQL;SQLite,"Academic researcher;Designer;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,,Man,Flex time or a flexible schedule;Opportunities for professional development;Family friendliness,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Go;Kotlin;Scala,Assembly;Bash/Shell/PowerShell;C;C#;C++;Java;JavaScript;Objective-C;Swift,Flutter,Node.js;React Native,,"Jira;Github;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",Not sure,Extremely important,Very important,Just because;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos",Once a year,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,2 to 9 employees,Android;Kubernetes,Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;MacOS,I have a great deal of influence,,Yes,"No, not at all",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",,Express,Somewhat less welcome now than last year,40.0,7,5
